id,aluno_id,mes_referencia,valor,status_pagamento
ecef221c-efba-441c-bcd8-e03baa117b42,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2023-08-01,1200,Pago
7974c8f5-c50d-4d0a-9ba9-a0ab02c2814d,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2023-09-01,1200,Pago
20d8c1c6-6e5d-45cd-86d9-82ab0d39918d,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2023-10-01,1200,Pago
8672c9a7-a9e7-41f9-ada7-8a2585bc24a7,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2023-11-01,1200,Pago
270bdca1-6926-4707-844d-2221c001e2a4,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2023-12-01,1200,Pago
45d1ba82-8220-45cf-8a96-3cae3c711050,75f65128-40c9-4aa7-bcdc-5f0cce7ba631,2024-01-01,1200,Pago
97d28358-9134-4875-8824-5d3d60b7e4e5,c0809dad-549e-4609-9939-2fe224f5a3cd,2023-08-01,600,Pago
b1ee7914-e9be-4384-9a95-e32d59ee7bf9,c0809dad-549e-4609-9939-2fe224f5a3cd,2023-09-01,600,Pago
ef38e2dd-79d8-4e0a-9b06-2d85e326fc16,c0809dad-549e-4609-9939-2fe224f5a3cd,2023-10-01,600,Pago
0f4eafdf-9ad2-4c2b-aac8-76f0ba218d99,c0809dad-549e-4609-9939-2fe224f5a3cd,2023-11-01,600,Pago
f48768e2-13b2-4133-962d-84101e155418,c0809dad-549e-4609-9939-2fe224f5a3cd,2023-12-01,600,Atrasado
a95ea755-d0da-4b1d-8896-634c7d105b6a,c0809dad-549e-4609-9939-2fe224f5a3cd,2024-01-01,600,Atrasado
5f5547a8-7fce-48d4-8615-73278f5e0b95,253cd045-89cd-467e-a841-366e9493a711,2023-08-01,1200,Pago
ae6a6452-5ca7-4393-be68-c9d358e5f8d0,253cd045-89cd-467e-a841-366e9493a711,2023-09-01,1200,Pago
6f38ee8e-fbcc-44de-8bbf-2124f6547b5d,253cd045-89cd-467e-a841-366e9493a711,2023-10-01,1200,Pago
d169cc82-9b2c-45ec-babf-eee4a617c841,253cd045-89cd-467e-a841-366e9493a711,2023-11-01,1200,Pago
0288dc2d-b2a4-4daa-b508-c08cfe227461,253cd045-89cd-467e-a841-366e9493a711,2023-12-01,1200,Atrasado
b7aebffc-9658-47d4-bfa8-429cff5f1081,253cd045-89cd-467e-a841-366e9493a711,2024-01-01,1200,Atrasado
632949f6-b982-4a87-b99e-edb242198884,0d56172d-1a4b-450a-be02-a189687fc80f,2023-08-01,1200,Pago
277ffdab-011e-4b72-83e6-8697f53a30e9,0d56172d-1a4b-450a-be02-a189687fc80f,2023-09-01,1200,Pago
60fd6392-c6ba-4115-9517-57865087e814,0d56172d-1a4b-450a-be02-a189687fc80f,2023-10-01,1200,Atrasado
cac78ebf-52a2-4888-bf94-7f6ef0530764,0d56172d-1a4b-450a-be02-a189687fc80f,2023-11-01,1200,Pago
1c5d84eb-6a3a-4d70-b964-9e6845403735,0d56172d-1a4b-450a-be02-a189687fc80f,2023-12-01,1200,Pago
a5d51a14-010e-46af-a036-a3b0c334fec8,0d56172d-1a4b-450a-be02-a189687fc80f,2024-01-01,1200,Pago
d266cb8f-ea0d-4b06-8c14-0710fdf9c8d8,fe03eb31-9a73-449b-a989-bd87c1de9078,2023-08-01,600,Pago
ba262eb2-3de5-4a64-872b-976487520e2e,fe03eb31-9a73-449b-a989-bd87c1de9078,2023-09-01,600,Pago
1c596b84-dcd5-48c2-bbb7-b3d64226c701,fe03eb31-9a73-449b-a989-bd87c1de9078,2023-10-01,600,Pago
9eb47e31-36ee-457a-9d5d-4517933c0233,fe03eb31-9a73-449b-a989-bd87c1de9078,2023-11-01,600,Pago
5cffb608-82fc-46c9-a37e-4052f1ed9a20,fe03eb31-9a73-449b-a989-bd87c1de9078,2023-12-01,600,Pago
d043d44a-0015-4e18-9d7f-b332afc5446e,fe03eb31-9a73-449b-a989-bd87c1de9078,2024-01-01,600,Pago
fe5dadef-0fca-433f-99fd-7d3652c75beb,cc267498-3ea7-4986-8669-b61b03f1b6c9,2023-08-01,1200,Pago
76cb0ca2-bd22-4ad0-b18c-53a0ca63cf7a,cc267498-3ea7-4986-8669-b61b03f1b6c9,2023-09-01,1200,Pago
05b459b1-77fd-4781-868f-083f71de74a4,cc267498-3ea7-4986-8669-b61b03f1b6c9,2023-10-01,1200,Pago
50c14508-0bdd-4657-bc4a-6bd4913c9a9c,cc267498-3ea7-4986-8669-b61b03f1b6c9,2023-11-01,1200,Pago
ed8a20ed-0673-4af6-9943-3057c0ae4fc8,cc267498-3ea7-4986-8669-b61b03f1b6c9,2023-12-01,1200,Pago
c7e6dad8-6522-4cef-bce2-8a5fe60d151e,cc267498-3ea7-4986-8669-b61b03f1b6c9,2024-01-01,1200,Pago
